Season,Competition Group,Competition,Week Date,Home Team,Away Team,Home Team Score,Away Team Score,Home Team Badge,Away Team Badge,Fixture Location,Time of Match
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-11,Wapping W1,Barnes W2,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Lee Valley Hockey and Tennis Centre - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-18,Wimbledon W3,London Wayfarers W2,2,7,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Raynes Park High School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-18,PHC Chiswick W1,West Herts W1,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,Liverpool Victoria Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-18,Southgate W2,Wapping W1,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,Southgate Hockey Centre Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-18,Old Cranleighan W1,Barnes W2,0,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Old Cranleighan Sports Club,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-18,Hampstead & Westminster W3,Surbiton Sparks,2,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Mill Hill School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-18,Wanderers W1,Tulse Hill & Dulwich W1,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Battersea Park - Far Pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-25,Wapping W1,Hampstead & Westminster W3,4,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Lee Valley Hockey and Tennis Centre - Pitch 2,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-25,London Wayfarers W2,Wanderers W1,3,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Kings House Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-25,West Herts W1,Wimbledon W3,0,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,New Field,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-25,Tulse Hill & Dulwich W1,Old Cranleighan W1,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Dulwich College - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-25,Surbiton Sparks,PHC Chiswick W1,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Surbiton HC - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-12-02,Tulse Hill & Dulwich W1,London Wayfarers W2,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Dulwich College - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-12-09,Barnes W2,PHC Chiswick W1,5,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Dukes Meadow pitch,Completed
