Season,Competition Group,Competition,Week Date,Fixture Location,Time of Match,Team_Role,Team,Opponent,Team_Score,Opponent_Score,Result
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Latymer Upper School,Completed,Away,Surbiton Sparks,PHC Chiswick W1,3.0,2.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Alleyns School,Completed,Home,Tulse Hill & Dulwich W1,PHC Chiswick W1,2.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Alleyns School,Completed,Away,PHC Chiswick W1,Tulse Hill & Dulwich W1,4.0,2.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Southgate Hockey Centre Pitch 1,Completed,Home,Southgate W2,Wanderers W1,2.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Southgate Hockey Centre Pitch 1,Completed,Away,Wanderers W1,Southgate W2,0.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Whitefields School - Pitch 1,Completed,Home,West Hampstead W1,Surbiton W3,1.0,1.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Whitefields School - Pitch 1,Completed,Away,Surbiton W3,West Hampstead W1,1.0,1.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Surbiton HC - Pitch 2,Completed,Home,Surbiton Sparks,Barnes W2,0.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Surbiton HC - Pitch 2,Completed,Away,Barnes W2,Surbiton Sparks,4.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Old Cranleighan Sports Club,Completed,Home,Old Cranleighan W1,Hampstead & Westminster W3,1.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Old Cranleighan Sports Club,Completed,Away,Hampstead & Westminster W3,Old Cranleighan W1,2.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Kennington Park,Completed,Home,London Wayfarers W2,Wimbledon W3,4.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Kennington Park,Completed,Away,Wimbledon W3,London Wayfarers W2,1.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Dukes Meadow pitch,Completed,Home,Barnes W2,Tulse Hill & Dulwich W1,3.0,2.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Dukes Meadow pitch,Completed,Away,Tulse Hill & Dulwich W1,Barnes W2,2.0,3.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Surbiton HC - Pitch 1,Completed,Home,Surbiton W3,Southgate W2,0.0,1.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Surbiton HC - Pitch 1,Completed,Away,Southgate W2,Surbiton W3,1.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Mallinson Sports Centre,Completed,Home,Hampstead & Westminster W3,Wanderers W1,2.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Mallinson Sports Centre,Completed,Away,Wanderers W1,Hampstead & Westminster W3,1.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Raynes Park High School,Completed,Home,Wimbledon W3,West Hampstead W1,0.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Raynes Park High School,Completed,Away,West Hampstead W1,Wimbledon W3,4.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Latymer Upper School,Completed,Home,PHC Chiswick W1,London Wayfarers W2,2.0,3.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Latymer Upper School,Completed,Away,London Wayfarers W2,PHC Chiswick W1,3.0,2.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Old Cranleighan Sports Club,Completed,Home,Old Cranleighan W1,Surbiton Sparks,0.0,2.0,Loss
